MSN,YYYYMM,Value,Column_Order,Description,Unit
TXRCBUS,199001,1000.783,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199002,835.244,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199003,740.664,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199004,572.616,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199005,410.893,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199006,317.046,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199007,287.348,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199008,294.652,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199009,301.37,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199010,394.966,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199011,561.338,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199012,841.516,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199013,6557.304,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199101,1083.595,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199102,857.847,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199103,766.123,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199104,543.206,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199105,391.168,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199106,305.844,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199107,291.784,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199108,282.813,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199109,296.667,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199110,402,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199111,648.686,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199112,878.338,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199113,6746.759,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199201,1023.144,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199202,904.685,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199203,776.901,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199204,611.446,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199205,414.293,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199206,322.794,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199207,296.151,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199208,281.481,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199209,316.022,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199210,423.331,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199211,631.048,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199212,949.707,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199213,6950.188,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199301,1051.936,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199302,976.747,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199303,921.124,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199304,629.532,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199305,394.753,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199306,322.433,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199307,294.544,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199308,291.354,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199309,304.758,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199310,408.185,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199311,634.421,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199312,917.092,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199313,7146.129,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199401,1192.961,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,199402,1052.788,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
