MSN,YYYYMM,Value,Column_Order,Description,Unit
OGTGRUS,197313,10.58,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,197413,10.24,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,197513,9.79,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,197613,9.79,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,197713,9.62,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,197813,9.26,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,197913,8.95,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,198013,8.45,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,198113,7.82,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,198213,7.49,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,198313,6.97,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,198413,6.79,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,198513,6.41,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,198613,6.21,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,198713,6.22,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
